,upstream_bodyId,downstream_bodyId,upstream_roi,downstream_roi,ux,uy,uz,dx,dy,dz,upstream_confidence,downstream_confidence
0,5813078552,954730964,PED(R),PED(R),13380,27959,17997,13388,27952,18002,0.976,0.78312
1,5813078552,940425171,aL(R),aL(R),16046,28929,5893,16059,28946,5892,0.813,0.293833
2,5813078552,940425171,aL(R),aL(R),17950,28208,6394,17973,28213,6408,0.958,0.680704
3,5813078552,940425171,bL(R),bL(R),21540,28647,21040,21530,28647,21026,0.946,0.998965
4,5813078552,940075056,aL(R),aL(R),15014,31123,17645,14998,31134,17664,0.952,0.951359
5,5813078552,939738399,aL(R),aL(R),16200,29310,6118,16213,29314,6123,0.997,0.749173
6,5813078552,939738376,bL(R),bL(R),20766,30617,21020,20764,30628,21008,0.845,0.997905
7,5813078552,939738376,aL(R),aL(R),16003,27912,11236,16014,27933,11243,0.963,0.681995
8,5813078552,939734266,aL(R),aL(R),15624,28338,10323,15640,28343,10327,0.98,0.755534
9,5813078552,939734122,bL(R),bL(R),23623,28219,20277,23633,28220,20308,0.971,0.372231
10,5813078552,923359312,bL(R),bL(R),15972,32714,20573,15980,32705,20569,0.879,0.983226
11,5813078552,910412830,aL(R),aL(R),16200,29310,6118,16165,29297,6123,0.997,0.296238
12,5813078552,910063307,bL(R),bL(R),17488,31631,20699,17500,31668,20701,0.969,0.430641
13,5813078552,893347461,CA(R),CA(R),13899,11641,11428,13904,11674,11415,0.996,0.606195
14,5813078552,891629070,bL(R),bL(R),23444,28340,20331,23447,28348,20312,0.92,0.996942
15,5813078552,891301315,CA(R),CA(R),13701,12302,11327,13686,12295,11322,0.878,0.798081
16,5813078552,880409455,bL(R),bL(R),22908,29221,20565,22897,29206,20579,0.879,0.828624
17,5813078552,880055173,aL(R),aL(R),15875,28653,5961,15868,28630,5972,0.945,0.986637
18,5813078552,878333333,CA(R),CA(R),14499,11214,12884,14504,11202,12881,0.852,0.947654
19,5813078552,861285145,bL(R),bL(R),16155,30518,19989,16169,30514,19992,0.916,0.999975
20,5813078552,849370246,aL(R),aL(R),15998,28916,5900,15989,28904,5905,0.999,0.787419
21,5813078552,849370246,bL(R),bL(R),15072,31913,20332,15084,31923,20338,0.973,0.9956
22,5813078552,847989021,bL(R),bL(R),22383,30126,20156,22392,30128,20142,0.9,0.999991
23,5813078552,847293869,bL(R),bL(R),22939,28827,20638,22943,28821,20615,0.894,0.603589
24,5813078552,846620223,bL(R),bL(R),15319,31145,20657,15334,31149,20669,0.98,0.988613
25,5813078552,846620223,aL(R),aL(R),16864,29559,5813,16867,29563,5831,0.989,0.828451
26,5813078552,829235909,aL(R),aL(R),16188,30116,14117,16205,30122,14121,0.989,0.516173
27,5813078552,829235909,SIP(R),SIP(R),16581,29110,12235,16583,29126,12229,0.986,0.94717
28,5813078552,829235909,aL(R),aL(R),16481,28501,11838,16499,28500,11825,0.948,0.585808
29,5813078552,817985849,bL(R),bL(R),21443,28815,21039,21443,28838,21051,0.959,0.923432
30,5813078552,817985849,bL(R),bL(R),21365,28918,21040,21382,28891,21046,0.912,0.763261
31,5813078552,815926323,CA(R),CA(R),14592,11097,13053,14576,11085,13046,0.955,0.975788
32,5813078552,800264315,bL(R),bL(R),22084,28340,20471,22079,28327,20491,0.868,0.864347
33,5813078552,800264315,bL(R),bL(R),21540,28647,21040,21567,28646,21047,0.946,0.606645
34,5813078552,799215269,aL(R),aL(R),17721,29313,6694,17725,29292,6707,0.996,0.559699
35,5813078552,768184604,CA(R),CA(R),14642,12241,10102,14642,12258,10092,0.983,0.984844
36,5813078552,766298734,aL(R),aL(R),15162,30617,17395,15160,30603,17399,0.937,0.680767
37,5813078552,766298734,aL(R),aL(R),15108,30657,17484,15121,30659,17498,0.989,0.813761
38,5813078552,754197850,bL(R),bL(R),15319,31145,20657,15326,31149,20641,0.98,0.963616
39,5813078552,754197850,bL(R),bL(R),15167,31426,20533,15187,31432,20538,0.983,0.99277
40,5813078552,754188911,CA(R),CA(R),14499,11214,12884,14513,11210,12864,0.852,0.743976
41,5813078552,736813212,aL(R),aL(R),17038,29794,7002,17049,29810,6988,0.869,0.97598
42,5813078552,736808904,aL(R),aL(R),16125,29440,9813,16099,29437,9815,0.947,0.800464
43,5813078552,736808904,aL(R),aL(R),16114,29403,9644,16105,29401,9646,0.915,0.998186
44,5813078552,736467526,bL(R),bL(R),23289,28367,20386,23296,28393,20374,0.917,0.883285
45,5813078552,735785741,bL(R),bL(R),22862,29533,20397,22844,29540,20403,0.906,0.997435
46,5813078552,735785583,bL(R),bL(R),21533,31136,21147,21540,31118,21123,0.856,0.706689
47,5813078552,735282133,aL(R),aL(R),14368,31274,17915,14374,31297,17903,0.989,0.925847
48,5813078552,735282133,aL(R),aL(R),14379,31248,17875,14367,31259,17867,0.99,0.939317
49,5813078552,733036127,aL(R),aL(R),14979,31147,17603,14970,31159,17598,0.832,0.975444
50,5813078552,733036127,aL(R),aL(R),14603,31062,17803,14572,31055,17799,0.978,0.990631
51,5813078552,733036127,aL(R),aL(R),14379,31199,17988,14397,31211,17994,0.888,0.924163
52,5813078552,733036127,aL(R),aL(R),14368,31274,17915,14355,31257,17903,0.989,0.618564
53,5813078552,733036127,aL(R),aL(R),14379,31248,17875,14357,31257,17886,0.99,0.751519
54,5813078552,733036127,aL(R),aL(R),15162,30617,17395,15166,30610,17382,0.937,0.717814
55,5813078552,733036127,aL(R),aL(R),15285,30534,17278,15289,30544,17272,0.99,0.364046
56,5813078552,733036127,aL(R),aL(R),14120,30757,17734,14094,30754,17723,0.922,0.505907
57,5813078552,733036127,aL(R),aL(R),15760,30992,18116,15746,31002,18111,0.956,0.989511
58,5813078552,733036127,aL(R),aL(R),14148,30906,17720,14133,30908,17727,0.973,0.927017
59,5813078552,733036127,aL(R),aL(R),14567,31113,17771,14544,31116,17768,0.973,0.93064
60,5813078552,733036127,aL(R),aL(R),15658,30199,15796,15668,30181,15805,0.949,0.83519
61,5813078552,723853340,aL(R),aL(R),16138,30886,18801,16131,30852,18795,0.998,0.601589
62,5813078552,723853340,aL(R),aL(R),16168,30790,18812,16159,30778,18807,0.976,0.909772
63,5813078552,723853340,aL(R),aL(R),16308,29857,13368,16295,29870,13383,0.975,0.825896
64,5813078552,723853340,aL(R),aL(R),16461,29621,12855,16455,29615,12873,0.989,0.926362
65,5813078552,723853340,bL(R),bL(R),22970,28617,20614,22966,28632,20627,0.891,0.629843
66,5813078552,723853340,aL(R),aL(R),14859,31022,17842,14852,30996,17848,0.98,0.737014
67,5813078552,723853340,aL(R),aL(R),15658,30199,15796,15646,30200,15805,0.949,0.767055
68,5813078552,707660374,bL(R),bL(R),22489,28567,20338,22510,28539,20334,0.964,0.4584
69,5813078552,707647321,bL(R),bL(R),22862,29533,20397,22868,29517,20384,0.906,0.951283
70,5813078552,707647321,bL(R),bL(R),21232,29099,20798,21214,29093,20806,0.975,0.966082
71,5813078552,707647321,bL(R),bL(R),22033,31391,20544,22013,31364,20557,0.963,0.47584286
72,5813078552,707647321,bL(R),bL(R),21927,31420,20806,21932,31406,20816,0.933,0.597883
73,5813078552,704750766,bL(R),bL(R),24018,28789,20601,24018,28765,20594,0.987,0.428601
74,5813078552,704746457,CA(R),CA(R),14642,12241,10102,14631,12269,10104,0.983,0.408454
75,5813078552,704746449,PED(R),PED(R),13162,20419,16554,13159,20396,16547,0.998,0.484064
76,5813078552,704409742,aL(R),aL(R),16222,27609,6788,16219,27600,6788,0.943,0.99913
77,5813078552,704409534,bL(R),bL(R),20120,29791,20217,20120,29766,20209,0.873,0.803716
78,5813078552,692110379,aL(R),aL(R),15790,30181,15831,15807,30180,15814,0.956,0.879818
79,5813078552,692110379,SIP(R),SIP(R),16581,29110,12235,16570,29110,12229,0.986,0.670517
80,5813078552,692110379,aL(R),aL(R),16461,29621,12855,16477,29592,12855,0.989,0.45260578
81,5813078552,662789529,bL(R),bL(R),19621,30246,19964,19624,30259,19966,0.907,0.793881
82,5813078552,662789529,aL(R),aL(R),15878,30893,18405,15869,30893,18402,0.949,0.940004
83,5813078552,662789529,aL(R),aL(R),15602,28416,10307,15596,28424,10302,0.971,0.835618
84,5813078552,662085792,CA(R),CA(R),12208,12901,10231,12208,12919,10241,0.811,0.755145
85,5813078552,661766416,CA(R),CA(R),13701,12302,11327,13716,12301,11307,0.878,0.743408
86,5813078552,643363111,aL(R),aL(R),17224,27156,6285,17211,27167,6247,0.989,0.376751
87,5813078552,642680826,aL(R),aL(R),15925,30900,18341,15931,30893,18316,0.991,0.374991
88,5813078552,642680823,aL(R),aL(R),17224,27156,6285,17225,27167,6274,0.989,0.990156
89,5813078552,642680823,aL(R),aL(R),15536,28753,10402,15514,28753,10416,0.976,0.559971
90,5813078552,642516892,SIP(R),SIP(R),16240,28067,11489,16243,28084,11489,0.84,0.945
91,5813078552,642335553,bL(R),bL(R),18008,31256,20182,17993,31234,20178,0.791,0.905867
92,5813078552,631396453,bL(R),bL(R),24075,29336,20792,24095,29348,20778,0.972,0.372551
93,5813078552,631059587,bL(R),bL(R),22581,28568,20415,22593,28567,20430,0.822,0.986583
94,5813078552,631051012,aL(R),aL(R),16200,29310,6118,16199,29329,6085,0.997,0.541767
95,5813078552,630722941,CA(R),CA(R),14239,13181,11010,14227,13203,11021,0.999,0.870676
96,5813078552,630722830,bL(R),bL(R),21403,29033,20831,21399,29042,20842,0.887,0.873115
97,5813078552,630381662,bL(R),bL(R),22970,28617,20614,22995,28611,20627,0.891,0.769703
98,5813078552,630373497,bL(R),bL(R),21888,31116,19948,21897,31120,19932,0.885,0.821953
99,5813078552,630373497,aL(R),aL(R),15350,30489,17329,15350,30489,17368,0.983,0.639566
100,5813078552,612668833,aL(R),aL(R),14478,31122,17879,14467,31118,17885,0.953,0.680168
101,5813078552,612668833,PED(R),PED(R),13060,22193,16945,13056,22184,16953,0.993,0.759621
102,5813078552,612668833,PED(R),PED(R),13054,22139,16920,13043,22136,16929,0.975,0.999656
103,5813078552,612638791,bL(R),bL(R),22489,28567,20338,22503,28572,20324,0.964,0.911877
104,5813078552,612638791,bL(R),bL(R),20949,29279,20277,20964,29287,20283,0.839,0.82026
105,5813078552,612638791,bL(R),bL(R),20644,29389,20298,20653,29394,20282,0.981,0.916789
106,5813078552,611646147,aL(R),aL(R),14148,30906,17720,14148,30928,17708,0.973,0.327023
107,5813078552,611646132,aL(R),aL(R),15915,27822,6015,15917,27822,6030,0.918,0.940995
108,5813078552,611304789,PED(R),PED(R),13073,26984,17862,13085,26977,17855,0.988,0.871002
109,5813078552,611304789,aL(R),aL(R),15922,30839,18421,15918,30826,18413,0.995,0.994432
110,5813078552,611304789,bL(R),bL(R),22677,29915,20242,22669,29923,20267,0.921,0.741482
111,5813078552,611304789,aL(R),aL(R),14107,30678,17732,14110,30675,17719,0.868,0.982106
112,5813078552,611304789,PED(R),PED(R),13120,27124,17948,13130,27128,17920,0.997,0.641683
113,5813078552,603422422,bL(R),bL(R),16405,32538,21360,16414,32538,21347,0.899,0.70266
114,5813078552,603422422,aL(R),aL(R),15799,30118,15724,15797,30139,15738,0.825,0.924174
115,5813078552,603422422,aL(R),aL(R),15697,30207,15729,15700,30210,15718,0.983,0.987743
116,5813078552,599674785,PED(R),PED(R),13363,19049,16459,13360,19048,16466,0.979,0.838346
117,5813078552,599674785,PED(R),PED(R),13315,19459,16478,13330,19443,16487,0.982,0.984069
118,5813078552,5901210195,aL(R),aL(R),15014,31123,17645,15024,31119,17664,0.952,0.98926
119,5813078552,582139830,bL(R),bL(R),22581,28568,20415,22582,28574,20389,0.822,0.878896
120,5813078552,582139830,bL(R),bL(R),22762,28546,20378,22743,28544,20359,0.952,0.861172
121,5813078552,5813114700,aL(R),aL(R),14979,31147,17603,14979,31174,17598,0.832,0.80372
122,5813078552,5813110238,bL(R),bL(R),23289,28367,20386,23280,28364,20374,0.917,0.999716
123,5813078552,5813110238,PED(R),PED(R),13076,21824,16802,13064,21824,16828,0.992,0.69413
124,5813078552,5813109913,bL(R),bL(R),16000,32801,20607,16012,32813,20609,0.996,0.938636
125,5813078552,5813106497,bL(R),bL(R),23289,28367,20386,23314,28382,20374,0.917,0.825231
126,5813078552,5813106497,bL(R),bL(R),23444,28340,20331,23426,28344,20312,0.92,0.976851
127,5813078552,5813105172,aL(R),aL(R),14974,30849,17623,14990,30850,17613,0.97,0.954132
128,5813078552,5813105172,PED(R),PED(R),13087,26915,17966,13102,26923,17969,0.993,0.968919
129,5813078552,5813105172,aL(R),aL(R),16312,29869,13543,16305,29869,13553,0.988,0.974615
130,5813078552,5813105172,bL(R),bL(R),21443,28815,21039,21422,28812,21039,0.959,0.984886
131,5813078552,5813105172,aL(R),aL(R),16200,29310,6118,16192,29295,6123,0.997,0.901138
132,5813078552,5813105172,aL(R),aL(R),17617,27544,6545,17627,27533,6540,0.953,0.891559
133,5813078552,5813105172,aL(R),aL(R),16222,27609,6788,16218,27609,6779,0.943,0.999591
134,5813078552,5813105172,bL(R),bL(R),15626,32715,20279,15634,32694,20270,0.996,0.929632
135,5813078552,5813105172,PED(R),PED(R),13341,27795,17935,13330,27783,17946,0.997,0.99742
136,5813078552,5813105172,bL(R),bL(R),22862,29533,20397,22862,29542,20384,0.906,0.99977
137,5813078552,5813105172,aL(R),aL(R),16451,29507,12622,16449,29482,12617,0.988,0.921812
138,5813078552,5813105172,aL(R),aL(R),16285,27634,6759,16252,27621,6755,0.991,0.331354
139,5813078552,5813105172,aL(R),aL(R),16180,27845,6804,16193,27859,6793,0.951,0.803898
140,5813078552,5813105172,bL(R),bL(R),22948,29615,20448,22952,29612,20428,0.976,0.999541
141,5813078552,5813105172,bL(R),bL(R),19171,30590,20007,19162,30572,20018,0.955,0.585052
142,5813078552,5813105172,bL(R),bL(R),19184,30582,20007,19185,30579,20021,0.836,0.999455
143,5813078552,5813105172,aL(R),aL(R),16068,27861,6866,16072,27866,6882,0.997,0.998643
144,5813078552,5813105172,aL(R),aL(R),14379,31248,17875,14364,31246,17867,0.99,0.911261
145,5813078552,5813105172,PED(R),PED(R),13130,20736,16571,13117,20717,16569,0.996,0.84264
146,5813078552,5813105172,aL(R),aL(R),16254,29966,13601,16241,29954,13612,0.982,0.973458
147,5813078552,5813105172,aL(R),aL(R),15285,30534,17278,15278,30528,17261,0.99,0.890731
148,5813078552,5813105172,aL(R),aL(R),15350,30489,17329,15346,30475,17336,0.983,0.995179
149,5813078552,5813105172,bL(R),bL(R),22970,28617,20614,22963,28612,20623,0.891,0.999765
150,5813078552,5813105172,bL(R),bL(R),21242,29051,20642,21227,29056,20636,0.98,0.915182
151,5813078552,5813105172,bL(R),bL(R),23623,28219,20277,23615,28208,20269,0.971,0.926988
152,5813078552,5813105172,PED(R),PED(R),13162,20419,16554,13148,20430,16542,0.998,0.839542
153,5813078552,5813105172,aL(R),aL(R),15872,29514,10559,15875,29500,10571,0.997,0.989923
154,5813078552,5813105172,bL(R),bL(R),22939,28827,20638,22934,28810,20642,0.894,0.905938
155,5813078552,5813095915,CA(R),CA(R),13899,11641,11428,13917,11637,11426,0.996,0.664379
156,5813078552,5813093171,bL(R),bL(R),23289,28367,20386,23301,28360,20374,0.917,0.999886
157,5813078552,5813088767,PED(R),PED(R),13122,25928,17907,13112,25928,17897,0.951,0.856079
158,5813078552,5813088767,bL(R),bL(R),20120,29791,20217,20131,29780,20209,0.873,0.99886
159,5813078552,5813088767,PED(R),PED(R),13096,24866,17680,13080,24872,17667,0.987,0.917549
160,5813078552,5813088767,PED(R),PED(R),13081,25032,17720,13074,25032,17706,0.987,0.907426
161,5813078552,5813088767,aL(R),aL(R),14368,31274,17915,14360,31292,17912,0.989,0.93486
162,5813078552,5813088767,PED(R),PED(R),13128,26441,17978,13115,26450,17989,0.977,0.794643
163,5813078552,5813088058,aL(R),aL(R),15285,30534,17278,15274,30540,17272,0.99,0.990494
164,5813078552,5813088058,bL(R),bL(R),15167,31426,20533,15159,31412,20524,0.983,0.980395
165,5813078552,5813078053,bL(R),bL(R),22105,30833,20037,22112,30844,20016,0.951,0.725027
166,5813078552,5813077616,aL(R),aL(R),15658,30199,15796,15645,30177,15803,0.949,0.740971
167,5813078552,5813075020,CA(R),CA(R),12208,12901,10231,12224,12906,10225,0.811,0.674662
168,5813078552,5813069114,bL(R),bL(R),23444,28340,20331,23447,28355,20330,0.92,0.971716
169,5813078552,5813068729,aL(R),aL(R),16864,29559,5813,16856,29569,5817,0.989,0.995009
170,5813078552,5813068729,aL(R),aL(R),17988,29011,6446,17994,29030,6463,0.977,0.945717
171,5813078552,5813068729,aL(R),aL(R),16062,27475,5862,16048,27472,5855,0.997,0.994225
172,5813078552,5813068729,aL(R),aL(R),16234,27320,5792,16220,27316,5795,0.989,0.822004
173,5813078552,5813068729,aL(R),aL(R),16132,29647,7074,16131,29636,7061,0.983,0.924729
174,5813078552,5813068729,aL(R),aL(R),15874,28635,5918,15877,28634,5903,0.801,0.93771
175,5813078552,5813068729,aL(R),aL(R),16068,27861,6866,16046,27871,6867,0.997,0.990244
176,5813078552,5813068729,aL(R),aL(R),16841,29863,7100,16862,29864,7100,0.996,0.566133
177,5813078552,5813068729,aL(R),aL(R),15789,29741,7365,15773,29750,7372,0.99,0.998836
178,5813078552,5813068729,aL(R),aL(R),17224,27156,6285,17204,27182,6274,0.989,0.748826
179,5813078552,5813068729,aL(R),aL(R),16180,27845,6804,16201,27845,6793,0.951,0.707981
180,5813078552,5813068729,aL(R),aL(R),15915,27822,6015,15922,27826,6014,0.918,0.995379
181,5813078552,5813068729,aL(R),aL(R),15709,29643,7433,15699,29649,7422,0.991,0.863614
182,5813078552,5813063229,PED(R),PED(R),13087,24718,17687,13079,24717,17695,0.976,0.816995
183,5813078552,5813063229,PED(R),PED(R),13110,25413,17845,13118,25410,17854,0.997,0.782108
184,5813078552,5813063229,aL(R),aL(R),14379,31199,17988,14367,31173,18008,0.888,0.539662
185,5813078552,5813063229,aL(R),aL(R),18081,28815,6372,18085,28831,6357,0.965,0.701616
186,5813078552,5813063229,PED(R),PED(R),13088,26622,18010,13095,26614,18013,0.99,0.412203
187,5813078552,5813063229,PED(R),PED(R),13031,24137,17565,13013,24136,17573,0.974,0.931291
188,5813078552,5813062862,CA(R),CA(R),13899,11641,11428,13925,11649,11426,0.996,0.593674
189,5813078552,5813062850,aL(R),aL(R),15845,29527,10502,15844,29537,10494,0.986,0.995091
190,5813078552,5813062850,aL(R),aL(R),16114,29403,9644,16120,29393,9646,0.915,0.977919
191,5813078552,5813062850,aL(R),aL(R),15709,29643,7433,15718,29625,7422,0.991,0.420787
192,5813078552,5813057187,bL(R),bL(R),21092,29192,20423,21107,29180,20407,0.873,0.866714
193,5813078552,5813057187,aL(R),aL(R),16234,27320,5792,16241,27320,5780,0.989,0.75603
194,5813078552,5813056355,aL(R),aL(R),16841,29863,7100,16848,29881,7105,0.996,0.652296
195,5813078552,5813056299,CA(R),CA(R),13701,12302,11327,13716,12314,11338,0.878,0.627085
196,5813078552,5813055914,PED(R),PED(R),13073,26984,17862,13079,27000,17855,0.988,0.986683
197,5813078552,5813055914,aL(R),aL(R),14979,31147,17603,14979,31127,17598,0.832,0.765977
198,5813078552,5813055914,bL(R),bL(R),16594,32325,21491,16597,32336,21496,0.907,0.978446
199,5813078552,5813055914,aL(R),aL(R),15014,31123,17645,15014,31110,17632,0.952,0.997213
200,5813078552,5813055914,aL(R),b'L(R),15607,30996,17631,15620,31002,17634,0.881,0.998544
201,5813078552,5813055889,bL(R),bL(R),22908,29221,20565,22912,29226,20579,0.879,0.894277
202,5813078552,5813054343,bL(R),bL(R),22237,30574,20116,22244,30571,20131,0.973,0.742746
203,5813078552,5813054342,bL(R),bL(R),22033,31391,20544,22014,31390,20514,0.963,0.45611495
204,5813078552,5813047220,aL(R),aL(R),15760,30992,18116,15749,30990,18125,0.956,0.92155
205,5813078552,5813042659,CA(R),CA(R),14316,13894,11082,14309,13909,11084,0.934,0.702902
